name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
signac,,simple data management,yes,Active,,Existing Workflow systems,https://signac.io/,https://github.com/glotzerlab/signac,http://dx.doi.org/10.25080/Majora-4af1f417-016,Academia,,"The signac framework helps users manage and scale file-based workflows, facilitating data reuse, sharing, and reproducibility.
It provides a simple and robust data model to create a 
well-defined indexable storage layout for data and metadata.
This makes it easier to operate on large data spaces, streamlines 
post-processing and analysis and makes data collectively accessible","python, data management, reproducibility, ",data management,yes,
cwltool,,reference implementation of Common Workflow Language,maybe,Active,,Existing Workflow systems,https://www.commonwl.org/,https://github.com/common-workflow-language/cwltool/,https://doi.org/10.6084/m9.figshare.3115156.v1,"Community, Academia",https://www.open-bio.org/wiki/Codefest_2014,"This is the reference implementation of the Common Workflow Language open
standards.  It is intended to be feature complete
and provide comprehensive validation of CWL
files as well as provide other tools related to working with CWL.","workflow, CWL, python",CWL implementation,yes,
CWLEXEC,,CWL executor for IBM Spectrum LSF clusters,no,Inactive,,Existing Workflow systems,,https://github.com/yuch7/cwlexec,,Enterprise,https://github.com/IBMSpectrumComputing/cwlexec/releases,"cwlexec implements running CWL (Common 
Workflow Language) workflows on IBM Spectrum LSF. It is written in Java 
and tested for Java 8, with the following features:
Tight integration with IBM® Spectrum LSFLeverages LSF features (such as native container support)Implements CWL draft-3 and v1.0 with a few exceptions 
(SoftwareRequirement, include directive, remote location in 
File/Directory specification)","Java, CWL, IBM Spectrum LFS",CWL implementation,yes,
drmr,,A tool for submitting pipeline scripts to distributed resource managers,no,Inactive (2017),,Existing Workflow systems,https://drmr.readthedocs.io/en/latest/,https://github.com/ParkerLab/drmr/,,Academia,http://theparkerlab.org/,Drmr (pronounced ‘drummer’) lets you write computational pipelines in simple shell scripts. It’s designed to work with common distributed resource management (DRM) systems (Slurm and PBS so far).,"pipeline, python, scripts, DRM",pipeline,yes,
autosubmit,,Autosubmit is a Python software to manage complicated workflows on HPC platforms,no,Active,Based on documentation,Existing Workflow systems,https://www.bsc.es/research-and-development/software-and-apps/software-list/autosubmit,https://autosubmit.readthedocs.io/en/latest/,https://doi.org/10.1109/HPCSim.2016.7568429,Academia,,"Autosubmit is a Python-based workflow manager to create, manage and 
monitor complex tasks involving different substeps, such as scientific 
computational experiments. These workflows may involve multiple 
computing systems for their completion, from HPCs to post-processing 
clusters or workstations. Autosubmit can orchestrate all the tasks 
integrating the workflow by managing their dependencies, interfacing 
with all the platforms involved, and handling eventual errors.","workflow, HPC, workflow manager, python",scientific workflow,yes,
JUDI,,"Software Pipeline, Just Do It",,Inactive (2021),,Existing Workflow systems,https://pyjudi.readthedocs.io/en/latest/,https://github.com/ncbi/JUDI,https://doi.org/10.1093/bioinformatics/btz956,Academia,,"JUDI simplifies building and executing a software pipeline
under different parameter settings by automating an efficient execution
of the pipeline across the settings.","pipeline, parameter settings, decouple files tasks from parameter",bioinformatics,,
Sumatra,,,maybe,Inactive,beta status,Existing Workflow systems,https://neuralensemble.org/sumatra/,https://github.com/open-research/sumatra,http://doi.ieeecomputersociety.org/10.1109/MCSE.2012.41,Academia,,"Sumatra is a tool for managing and tracking projects based on numerical
simulation and/or analysis, with the aim of supporting reproducible research.
It can be thought of as an automated electronic lab notebook for computational
projects.
It consists of:
a command-line interface, smt, for launching simulations/analyses with
automatic recording of information about the experiment, annotating these
records, linking to data files, etc.a web interface with a built-in web-server, smtweb, for browsing and
annotating simulation/analysis results.a Python API, on which smt and smtweb are based, that can be used in your own
scripts in place of using smt, or could be integrated into a GUI-based
application.
Sumatra is currently beta code, and should be used with caution and frequent
backups of your records.","reproducible, documentation, procenance, ","reproducible research, ''automated electronic lab notebook'' for simulation/analysis projects",yes,
Netflix Conductor,,Conductor is a platform created by Netflix to orchestrate workflows that span across microservices.,no,Active,,Existing Workflow systems,https://conductor.netflix.com/,https://github.com/Netflix/conductor,,Enterprise,http://netflix.com/,Conductor is a platform created by Netflix to orchestrate workflows that span across microservices.,"workflow engine, orchestration, scalable, microservices, workflow management",microservice orchestration engine,yes,
PipEngine,,An ultra light YAML-based pipeline execution engine,no,Inactive (2017),,Existing Workflow systems,,https://github.com/fstrozzi/bioruby-pipengine,https://doi.org/10.21105/joss.00341,Academia,,"A simple launcher for complex biological pipelines.
PipEngine will generate runnable shell scripts, already 
configured for the PBS/Torque job scheduler, for each sample in the 
pipeline. It allows to run a complete pipeline or just a single step 
depending on the needs.
PipEngine is best suited for NGS pipelines, but it can be 
used for any kind of pipeline that can be runned on a job scheduling 
system and which is ""sample"" centric, i.e. you have from one side a list
 of samples with their corresponding raw data, and from the other side a
 pipeline that you would like to apply to them.
PipEngine was developed to combine the typical flexibility
 and portability of shell scripts, with the concept of pipeline 
templates that can be easily applied on different input data to 
reproduce scientific results. The overall improvement over Makefiles or 
customised ad-hoc shell scripts is better readability of the pipelines 
using the YAML format, especially for people with no coding experience, 
the automated scripts generation which allows adding extra 
functionalities like error controls and logging directly into script 
jobs, and an enforced separation between the description of input data 
and the pipeline template, which improves clarity and reusability of 
analysis protocols.","pipelines, YAML, shell scripts","bioinformatics, ngs",yes,
MyQueue,,,no,Active,,Existing Workflow systems,https://myqueue.readthedocs.io/en/latest/,https://gitlab.com/myqueue/myqueue,https://doi.org/10.21105/joss.01844,Academia,,MyQueue is a frontend for SLURM/PBS/LSF that makes handling of tasks easy. It has a command-line interface called mq with a number of Sub-commands and a Python interface for managing Workflows. Simple to set up: no system administrator or database required.,"submit, jobs, cluster, hpc, task status",task sumission,yes,
drake R package,,An R-focused pipeline toolkit for reproducibility and high-performance computing,yes,Active,superseded by targets (2021),Existing Workflow systems,,https://github.com/ropensci/drake,https://doi.org/10.21105/joss.00550,Academia,,"Data analysis can be slow. A round of scientific computation can take
several minutes, hours, or even days to complete. After it finishes, if
you update your code or data, your hard-earned results may no longer be
valid. How much of that valuable output can you keep, and how much do
you need to update? How much runtime must you endure all over again?
For projects in R, the drake package can help. It analyzes your
workflow, skips steps with
up-to-date results, and orchestrates the rest with optional distributed
computing. At the end,
drake provides evidence that your results match the underlying code
and data, which increases your ability to trust your research.","R, pipeline, data anaylsis, HPC, reproducibility",reproducible pipeline and hpc,yes,
targets,targets R package,Function-oriented Make-like declarative workflows for R,yes,Active,,Existing Workflow systems,https://docs.ropensci.org/targets/,https://github.com/ropensci/targets,https://doi.org/10.21105/joss.02959,Academia,,"Pipeline tools coordinate the pieces of computationally demanding analysis projects. The targets package is a Make-like
 pipeline tool for statistics and data science in R. The package skips 
costly runtime for tasks that are already up to date, orchestrates the 
necessary computation with implicit parallel computing, and abstracts 
files as R objects. If all the current output matches the current 
upstream code and data, then the whole pipeline is up to date, and the 
results are more trustworthy than otherwise.","R, data analysis, pipeline, orchestration, reproduciblity",reproducible pipeline and hpc,yes,
MaDaTS,,Managing Data on Tiered Storage for Scientific Workflows,no,Inactive,,Existing Workflow systems,,https://github.com/dghoshal-lbl/madats,https://10.0.82.113/joss.00830,Academia,,"MaDaTS provides an integrated data management and workflow execution
framework on multi-tiered storage systems. Users of MaDaTS can execute
a workflow by either specifying the workflow stages in a YAML description
file, or use the API to manage workflows and associated data. Some examples
of specifying the workflow description and using the API are provided in
the examples/ directory.
The MaDaTS API provides simple data abstractions for managing workflow and
data on multi-tiered storage. It takes a data-driven approach to executing
workflows, where a workflow is mapped to a Virtual Data Space (VDS) consisting
of virtual data objects. A user simply creates a VDS and adds virtual data
objects to the VDS, and MaDaTS takes care of all the necessary data movements
and bindings to seamlessly manage a workflow and associated data across multiple
storage tiers.","data management, workflow, YAML, API, multi-tiered storage","data management, workflow",yes,
Cadence,,Fault-Tolerant Stateful Code Platform,maybe,Active,,Existing Workflow systems,https://cadenceworkflow.io/,https://github.com/uber/cadence,,Enterprise,https://www.uber.com/de/blog/engineering/,"Cadence is a distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way",,orchestration engine,yes,
Merlin,,Machine Learning for HPC Workflows,maybe,Active,,Existing Workflow systems,https://merlin.readthedocs.io/en/latest/,https://github.com/LLNL/merlin,https://doi.org/10.1016/j.future.2022.01.024,Academia,,"Merlin is a tool for running machine learning based workflows. The goal of Merlin is to make it easy to build, run, and process the kinds of large scale HPC workflows needed for cognitive simulation.","workflow, ML, HPC, big data, distributed task queuing","ML workflow, HPC workflows",yes,
Janis,,portable workflow specification to run reproducible across different compute platforms,maybe,Active,WIP,Existing Workflow systems,https://janis.readthedocs.io/en/latest/index.html,https://github.com/PMCC-BioinformaticsCore/janis,https://zenodo.org/record/4427231,Academia,,"Janis gives you an API to build computational workflows and will generate a workflow description in CWL (v1.2) and WDL (version development). By using Janis, you get type-safety, portability and reproducibility across all of your execution environments.",,workflow,yes,
AlphaSQL,,Integrated Type and Schema Check and Parallelization for SQL file set mainly for BigQuery,no,Active,,Existing Workflow systems,,https://github.com/Matts966/alphasql,,Personal,,"AlphaSQL provides Automatic Parallelization for sets of SQL files and integrated Type/Scheme Checker to eliminate syntax, type and schema errors from your datawarehouse.","Docker, Dependency analysis, datawarehouse, workflow, schema check","SQL, DataWarehouse",yes,
Zeebe,,Workflow Engine for Microservices Orchestration,no,Active,,Existing Workflow systems,https://camunda.com/platform/zeebe/,https://github.com/camunda/zeebe,,Enterprise,https://camunda.com/,"Zeebe’s cloud-native design provides the performance, resilience, and security enterprises need to future-proof their process orchestration efforts.","workflow, microservice, orchestration, bpmn, workflow engine","workflow engine, microservice orchestration",yes,
durabletask,,Durable Task Framework allows users to write long running persistent workflows in C# using the async/await capabilities,no,Active,,Existing Workflow systems,,https://github.com/Azure/durabletask,,Enterprise,https://azure.microsoft.com,"The Durable Task Framework (DTFx) is a library that allows users to write long running persistent workflows (referred to as orchestrations)
 in C# using simple async/await coding constructs. It is used heavily 
within various teams at Microsoft to reliably orchestrate long running 
provisioning, monitoring, and management operations. The orchestrations 
scale out linearly by simply adding more worker machines. This framework
 is also used to power the serverless Durable Functions extension of Azure Functions.","persistent workflows, C#, orchestration, microsoft","C# workflow orchestration, operations",yes,
Illumina State Language,,,,"URL moved, proprietary ",URL moved,Existing Workflow systems,,,,Enterprise,,,,,,
Moteur,,"a data intensive
service-based workflow
engine",,"Not Found, outdated","Moteur package not found, presentation from 2006",Existing Workflow systems,,,http://www.i3s.unice.fr/~johan/publis/MOTEUR-poster-A4.pdf,Academia,,,,scientific workflow engine,,
SimStack,,,no,Active,,Existing Workflow systems,http://www.simstack.de/,,https://doi.org/10.3389/fmats.2022.877597,Academia,,"SimStack facilitates the efficient implementation, adoption and 
execution of complex and extensive simulation workflows and enables fast
 uptake of modeling techniques for advanced functional and nanomaterials
 by industry. Within a few hours, complex modeling solutions are 
rendered into easy-to-use, market-ready software products for multiscale
 modeling solutions",commercial,material science,no,
Maestro Workflow Conductor,,A tool to easily orchestrate general computational workflows both locally and on supercomputers,yes,Active,,Existing Workflow systems,https://maestrowf.readthedocs.io/en/latest/,https://github.com/LLNL/maestrowf,,National-Institute,https://software.llnl.gov/,"Maestro gives an easy path to automating and orchestrating your 
workflows, building upon your existing shell and batch (HPC scheduled 
scripts/tasks) script tasks to layer on parameterization, task 
dependencies, and output isolation.  Additionally, Maestro's workflow 
specification layer enables documenting those scripts and their 
interdependencies if chaining them together, and makes them more 
repeatable and shareable for enhanced collaboration with your peers.","llnl, reproducibility, shareability, self-documenting, consistent, repeatability, workflows, hpc, local",scientific workflow,yes,
HyWare,,,yes,The workflow engine is currently being implemented in the context of D4Science so as to make it available to all e-infrastructures it supports,,Existing Workflow systems,,,https://doi.org/10.1007/s41060-020-00237-x,Academia,,"Research e-infrastructures are “systems of systems,” patchworks of 
resources such as tools and services, which change over time to address 
the evolving needs of the scientific process. In such environments, 
researchers carry out their scientific process in terms of sequences of 
actions that mainly include invocation of web services, user interaction
 with web applications, user download and use of shared software 
libraries/tools. The resulting workflows are intended to generate new 
research products (articles, datasets, methods, etc.) out of existing 
ones. Sharing a digital and executable representation of such workflows 
with other scientists would enforce Open Science publishing principles 
of “reproducibility of science” and “transparent assessment of science.”
 This work presents HyWare, a language and execution platform capable of
 representing scientific processes in highly heterogeneous research 
e-infrastructures in terms of so-called hybrid workflows. Hybrid 
workflows can express sequences of “manually executable actions,” i.e., 
formal descriptions guiding users to repeat a reasoning, protocol or 
manual procedure, and “machine-executable actions,” i.e., encoding of 
the automated execution of one (or more) web services. An HyWare 
execution platform enables scientists to (i) create and share workflows out of a given action set (as defined by the users to match e-infrastructure needs) and (ii)
 execute hybrid workflows making sure input/output of the actions flow 
properly across manual and automated actions. The HyWare language and 
platform can be implemented as an extension of well-known workflow 
languages and platforms.","open science, workflow, reproducibility",scientific research,?,
HyperFlow,,a scientific workflow management system,maybe,Active,,Existing Workflow systems,,https://github.com/hyperflow-wms/hyperflow,https://www.sciencedirect.com/science/article/abs/pii/S0167739X15002770,Academia,,"This paper presents HyperFlow: a model of computation, programming approach and enactment engine
 for scientific workflows. Workflow programming in HyperFlow combines 
a simple declarative description of the workflow structure with 
low-level implementation of workflow activities in a mainstream scripting language.
 The aim of this approach is to increase the programming productivity of
 workflow developers who are skilled programmers and desire 
a programming experience similar to the one offered by a mature 
programming ecosystem. Combining a declarative description with 
low-level programming enables elimination of shim nodes from the 
workflow graph, considerably simplifying workflow implementations. The workflow description is based on a formal model of computation
 (Process Networks) and is characterized by a simple and concise syntax,
 utilizing just three key abstractions—processes, signals and functions.
 Yet it is sufficient for expressing complex workflow patterns in a simple way. The adopted model of computation implemented in the HyperFlow workflow engine
 enables fully distributed and decentralized workflow enactment. The 
paper describes HyperFlow from the perspective of its workflow 
programming capabilities, the adopted model of computation, as well as 
the enactment engine,
 in particular its distributed workflow enactment capability. The 
provenance model and logging features are also presented. Several 
workflow examples derived from other workflow systems and reimplemented in HyperFlow are extensively discussed.",,scientific workflows,yes,
BRANE Framework,,Programmable Orchestration of Applications and Networking,,"Archived, handed over to https://github.com/epi-project/brane",URL not found (https://onnovalkering.github.io/brane/),Existing Workflow systems,,https://github.com/onnovalkering/brane,https://ieeexplore.ieee.org/document/9582292,Academia,,,,,,
BRANE Framework,,Programmable Orchestration of Applications and Networking,no,,,Existing Workflow systems,https://wiki.enablingpersonalizedinterventions.nl/,https://github.com/epi-project/brane,,,,,,orchestration,yes,
ApolloWF,,APplication Orchestration and runtime framework for Leveraging the edge-cLoud cOntinuum,no,Inactive,"Apollo is a research project first and foremost, and is still in early development.",Existing Workflow systems,,https://apollowf.github.io/,https://doi.org/10.1145/3452413.3464793,Academia,,"Apollo, a runtime system for serverless function compositions distributed across the cloud-edge-IoT continuum. Apollo's modular design enables a fine-grained decomposition of the runtime implementation(scheduling, data transmission, etc.) of the application, so that each of the numerous implementation decisions can be optimized separately, fully exploiting the potential for the optimization of the overall performance and costs. Apollo features (a) a flexible model of the application and the available resources and (b) an implementation process based on a large set of independent agents. This flexible structure enables distributing not only the processing, but the implementation process itself across a large number of resources, each running an independent Apollo instance. The ability to flexibly determine the placement of implementation actions opens up new optimization opportunities, while at the same time providing access to greater computing power for optimizing challenging decisions such as task scheduling and the placement and routing of data.",,orchestration,yes,
IS-EPOS Platform,,,,,,Existing Workflow systems,,,https://doi.org/10.1109/WORKS51914.2020.00009,Academia,,,,,,
pyinvoke,,,no,Active,,Existing Workflow systems,https://www.pyinvoke.org/,https://github.com/pyinvoke/invoke,,Personal?,,"Invoke is a Python (2.7 and 3.4+) library for managing shell-oriented
subprocesses and organizing executable Python code into CLI-invokable tasks. It
draws inspiration from various sources (make/rake, Fabric 1.x, etc) to
arrive at a powerful & clean feature set","python, scripts, CLI tasks",pythonic task execution,yes,
Compi ,,framework for portable computational pipelines,maybe,Active,,Existing Workflow systems,http://sing-group.org/compi/,https://github.com/sing-group/compi,https://doi.org/10.7717/peerj-cs.593,Academia,,"
                    Compi is an extremely simple application framework for portable computational pipelines. A computational
                        pipeline can be seen as a set of processing steps that run one after one (or ocassionally in parallel
                        if they are independent).
                    
                    There are many fields where computational pipelines constitute the main architecture of applications,
                        such as big data analysis or bioinformatics.
                    Many pipelines combine third party tools along with custom made processes, conforming the final pipeline.
                        Compi is the framework helping you to create the final - and portable - application.
                ","XML, lagnuage agnostic, protable, docker, CLI, parallelization, pipeline, reproducible","portable, reproducible pipeline",yes,
TriggerFlow,,Event-based Orchestration of Serverless Workflows,no,Archived,,Existing Workflow systems,,https://github.com/triggerflow/triggerflow,https://arxiv.org/abs/2006.08654,Academia,,"Triggerflow is a scalable, extensible and serverless in design platform for event-based orchestration of serverless workflows.","serverless, workflow, orchestration, event-based, cloud-native","workflow, orhcestration",yes,
Google Cloud Workflows,,Orchestrate and automate Google Cloud and HTTP-based API services with serverless workflows,,Active,,Existing Workflow systems,https://cloud.google.com/workflows/docs,,,Enterprise,https://cloud.google.com/workflows/docs,,gcp,"orchestration, workflow",no,
PanDA Workflow Management System,,,no,Active,,Existing Workflow systems,https://github.com/PanDAWMS,https://github.com/PanDAWMS/pandawms,https://www.epj-conferences.org/articles/epjconf/abs/2016/03/epjconf_mmcp2016_01003/epjconf_mmcp2016_01003.html,Academia,,"Modern experiments collect peta-scale volumes of data and utilize vast, 
geographically distributed computing infrastructure that serves 
thousands of scientists around the world. Requirements for rapid, near 
real-time data processing, fast analysis cycles and need to run massive 
detector simulations to support data analysis pose special premium on 
efficient use of available computational resources. A sophisticated 
Workload Management System (WMS) is needed to coordinate the 
distribution and processing of data and jobs in such environment. The 
ATLAS experiment at CERN uses PanDA (Production and Data Analysis) 
Workload Management System for managing the workflow for all data 
processing on over 150 data centers. While PanDAcurrently uses more than
 250,000 cores with a peak performance of 0.3 petaFLOPS, it runs around 2
 million jobs per day on hundreds of Grid sites and serving thousands of
 ATLAS users. In 2017 about 1.5 exabytes of data were processed with 
PanDA.In 2012 BigPanDA project project was started with aim to introduce
 new types of computing resources into ATLAS computing infrastructure, 
but also to offering PanDA features to different data-intensive 
applications for projects and experiments outside of ATLAS and 
High-Energy and Nuclear Physics. In this article we will present 
accomplishments and discuss possible directions for future work.","Big data, hpc","CERN, high energy physics",yes,
Harvester,,,no,Active,,Existing Workflow systems,,https://github.com/HSF/harvester,https://doi.org/10.1051/epjconf/201921403030,Academia,,Harvester is a resource-facing service between WFMS and the collection of pilots. It is a lightweight stateless service running on a VObox or an edge node of HPC centers to provide a uniform view for various resources.,"resource managment, monitor operations, provisioning","high energy physics, CERN",yes,
BD-Processor,,,no,Active,,Existing Workflow systems,https://big-data-processor.github.io/bdp-document/,https://github.com/big-data-processor/bd-processor/,,Academia,https://www.cgu.edu.tw,"The BD-Processor (BDP) is a general-purpose web-based data workbench that focuses not only on workflow management but also interactive data analysis. 
Our goal is to provide a full-featured data science workbench.","wfms, data analysis, data workbench",data science,yes,
redun,,yet another redundant workflow engine,yes,Active,,Existing Workflow systems,https://insitro.github.io/redun/,https://github.com/insitro/redun,,Enterprise,https://insitro.com/,"redun aims to be a more expressive and efficient 
workflow framework, built on top of the popular Python programming 
language. It takes the somewhat contrarian view that writing dataflows 
directly is unnecessarily restrictive, and by doing so we lose 
abstractions we have come to rely on in most modern high-level languages
 (control flow, composability, recursion, high order functions, etc). 
redun's key insight is that workflows can be expressed as lazy expressions, which are then evaluated by a scheduler that performs automatic parallelization, caching, and data provenance logging.","Python, workflow, DAG, caching, incremental computing, data lineage, provenance",workflow engine,yes,
pyiron,,The materials science IDE,no,Active,,Existing Workflow systems,https://pyiron.org/,https://github.com/pyiron/pyiron,https://doi.org/10.1016/j.commatsci.2018.07.043,Academia,,"pyiron is an integrated development environment for implementing, testing, and running simulations in computational materials science. It combines several tools in a common platform","reproducibility, local, HPC, workflow",material science,yes,
looper,,pipeline submitting engine,no,Active,,Existing Workflow systems,,https://github.com/pepkit/looper,,Academia,https://databio.org/software/,"Looper is a job submitting engine. Looper deploys arbitrary shell commands for each sample in a standard PEP project.
 You can think of looper as providing a single user interface to 
running, monitoring, and managing all of your sample-intensive research 
projects the same way, regardless of data type or pipeline used.","pipeline, submission engine, job submission",bioinformatics,yes,
dagster,,"An orchestration platform for the development, production, and observation of data assets.",yes,Active,,Existing Workflow systems,https://dagster.io/,https://github.com/dagster-io/dagster,,Enterprise,https://www.elementl.com,"Dagster is a cloud-native data pipeline 
orchestrator for the whole development lifecycle, with integrated 
lineage and observability, a declarative programming model, and 
best-in-class testability.
It is designed for developing and maintaining data assets, such as tables, data sets, machine learning models, and reports.
With Dagster, you declare—as Python functions—the data 
assets that you want to build. Dagster then helps you run your functions
 at the right time and keep your assets up-to-date.","python, workflow, metadata, orchestration, etl, data pipelines, mlops",data engineering,yes,
StackStorm,,"StackStorm (aka ""IFTTT for Ops"") is event-driven automation for auto-remediation, incident responses, troubleshooting, deployments, and more for DevOps and SREs.",no,,,Existing Workflow systems,https://stackstorm.com/,https://github.com/StackStorm/st2,,Enterprise,https://en.wikipedia.org/wiki/StackStorm,"StackStorm is a platform for integration and automation 
across services and tools. It ties together your existing infrastructure
 and application environment so you can more easily automate that 
environment -- with a particular focus on taking actions in response to 
events.
StackStorm helps automate common operational patterns. Some examples are:
Facilitated Troubleshooting - triggering on system 
failures captured by Nagios, Sensu, New Relic and other monitoring, 
running a series of diagnostic checks on physical nodes, OpenStack or 
Amazon instances, and application components, and posting results to a 
shared communication context, like Slack or JIRA.Automated remediation - identifying and verifying 
hardware failure on OpenStack compute node, properly evacuating 
instances and emailing VM about potential downtime, but if anything goes
 wrong - freezing the workflow and calling PagerDuty to wake up a human.Continuous deployment - build and test with 
Jenkins, provision a new AWS cluster, turn on some traffic with the load
 balancer, and roll-forth or roll-back based on NewRelic app performance
 data.","devops, python, automation, deployment, incident response",IFTTT for Ops,yes,
Geoweaver,,"a web system to allow users to automatically record history and manage complicated scientific workflows in web browsers involving the online spatial data facilities, high-performance computation platforms, and open-source libraries.",no,Active,,Existing Workflow systems,https://esipfed.github.io/Geoweaver/,https://github.com/ESIPFed/Geoweaver,https://doi.org/10.3390/ijgi9020119,Academia,,"Geoweaver is an in-browser software allowing users to easily compose 
and execute full-stack data processing workflows via taking advantage of
 online spatial data facilities, high-performance computation platforms,
 and open-source deep learning libraries. It provides all-in-one 
capacity covering server management, code repository, workflow 
orchestration software, and history recorder.

It can be run from both local and remote (distributed) machines","wfms,pipeline, docker, kubernetes, scientific computing, hpc",geo science,yes,
Popper,,Container-native task automation engine,no,Inactive,,Existing Workflow systems,https://getpopper.io/,https://github.com/getpopper/popper,https://doi.org/10.1109/IPDPSW.2017.157,Academia,,"A container-native task automation engine that runs on distinct 
container engines, orchestration frameworks and CI services. Write 
simple YAML files, run everywhere.","YAML, task automation engine, container native, docker, reproducibility,",task automation engine,yes,
Cloud Build,,GCP CI/CD Platform,no,Active,,Existing Workflow systems,https://cloud.google.com/build,,,,,GCP,"Build, test, and deploy on our serverless CI/CD platform.",google cloud platform,no,
Task,Task/Taskfile,A task runner / simpler Make alternative written in Go,maybe,Active,,Existing Workflow systems,https://taskfile.dev/,https://github.com/go-task/task,,,,"Task is a task runner / build tool that aims to be simpler and easier to use
than, for example, GNU Make.Since it's written in Go, Task is just a single binary and has no other
dependencies, which means you don't need to mess with any complicated install
setups just to use a build tool.","go, devops, makefile, task runner, make, build tool, taskfile","build tool, task runner",yes,
pypyr,,"pypyr task-runner cli & api for automation pipelines. Automate anything by combining commands, different scripts in different languages & applications into one pipeline process.",maybe,Active,,Existing Workflow systems,https://pypyr.io/,https://github.com/pypyr/pypyr/,,,,"task runner for automation pipelinesscript sequential task workflow steps in yamlconditional execution, loops, error handling & retriesFor when your shell scripts get out of hand. Less tricky than makefile.Simple variable substitution & configuration file management.Automate anything by combining commands, different scripts in different languages & applications into one pipeline process.","python, yaml, devops, cli, pipeline, task maanger, script, devops","task runner, automation",yes,
SimTool,SimTool/Sim2Ls,Functions for creating and running Simulation Tools on the HUBzero platform lead by nanoHUB,yes,Active,,Existing Workflow systems,https://simtool.readthedocs.io/en/stable/,https://github.com/hubzero/simtool,https://doi.org/10.1371/journal.pone.0264492,Academia,,"Functions for creating and running Simulation Tools on the HUBzero platform lead by nanoHUB
Features
Easily declare and validate inputs and outputs of a simulation using
 Python and Jupyter notebooks. The entire simulation code can run inside
 a notebook or the notebook can be a wrapper that invokes complex 
external codes.Uses papermill to run parameterized notebooks, saving a new copy for each run.Results saved in a datastore (filesystem or web service based).  The
 datastore can be used for machine learning and statistical analysis.  
Additionally, it functions as a cache.Can be containerized for remote execution.","HUBzero platform, input validation, python, Jupyter Notebooks, papermill, container, FAIR",SimulationTool on HUBZero,yes,
SideIO,,A Side I/O system framework for hybrid scientific workflow,,Inactive,no project/source code available,Existing Workflow systems,,,https://doi.org/10.1016/j.jpdc.2016.07.001,Academia,,,,,,
Flyte,,"Flyte is an open-source workflow orchestration platform for building data, ML and analytics workflows with ease.",no,Active,,Existing Workflow systems,https://flyte.org/,https://github.com/flyteorg/flyte,,Community,https://flyte.org/community#lf-ai-data,"Flyte is an open-source orchestrator that facilitates 
building production-grade data and ML pipelines. It is built for 
scalability and reproducibility, leveraging Kubernetes as its underlying
 platform. With Flyte, user teams can construct pipelines using the 
Python SDK, and seamlessly deploy them on both cloud and on-premises 
environments, enabling distributed processing and efficient resource 
utilization.","reproducibility, python, local, cloud, data pipelines, ML pipelines, scalebility,data preprocessing, data analysis, ML, orchestration, data science","data and ML pipelines, orchestration",yes,
StreamFlow,,StreamFlow Workflow Manager,no,Active,,Existing Workflow systems,https://streamflow.di.unito.it/,https://github.com/alpha-unito/streamflow,http://dx.doi.org/10.1109/TETC.2020.3019202,Academia,,"he StreamFlow framework is a container-native Workflow Management System written in Python 3 and based on the Common Workflow Language (CWL) standard. Developed and maintained by the Alpha research group at Università di Torino (UniTO), it has been designed around two main principles:



Allowing the execution of tasks in multi-container environments, in order to support concurrent execution of multiple communicating tasks in a multi-agent ecosystemRelaxing the requirement of a single shared data space, in order to allow for hybrid workflow executions on top of multi-cloud or hybrid cloud/HPC infrastructures.","Python CWL, multi-container, hybrid workflow, hpc",WFMS,yes,
Jupyter Workflow,,Distributed workflows design and execution with Jupyter Notebooks.,no,Active,,Existing Workflow systems,https://jupyter-workflow.di.unito.it/,https://github.com/alpha-unito/jupyter-workflow,https://doi.org/10.1016/j.future.2021.10.007,Academia,,"The Jupyter Workflow framework enables Jupyter Notebooks to describe 
complex workflows and to execute them in a distributed fashion on hybrid
 HPC-Cloud infrastructures. Jupyter Workflow relies on the StreamFlow WMS as its underlying runtime support.","distributed literate workflow, Jupyter notebooks, hybrid cloud, HPC",Jupyter notebooks,yes,
Nnodes,,"Nnodes, a workflow manager for HPC clusters",no,Active,,Existing Workflow systems,https://icui.github.io/nnodes/index.html,https://github.com/icui/nnodes,https://raw.githubusercontent.com/icui/nnodes/main/doc/source/files/poster.pdf,Academia,,Nnodes is a simple workflow manager for Python functions and command line tools. It makes your life easier when running complicated jobs either in your local computer or in a large-scale cluster.,"Python functions, workflow manager, CLI, local, cluster, MPI, process controll,",wfms,yes,
Orchest,,"Build data pipelines, the easy way",yes,Discontinued (04.2023),https://mailchi.mp/orchest/a-new-chapter-for-orchest,Existing Workflow systems,https://www.orchest.io/,https://github.com/orchest/orchest,,Enterprise,https://www.orchest.io/,"No frameworks. No YAML. Just write your data processing code directly in Python, R or Julia.","reproduciblity, orchestration, notebooks, scripts, pipelines, infrastructure, local, cloud pipelines, versioning","data pipelines, workflows",yes,
